name,affiliations,last_5_year_total,first_author_total,corresponding_author_total,top_total,a_plus_total,a_total,a1_total,a2_total,level_counts_json,paper_links,paper_titles,journals,years,author_roles,is_likely_chinese_name,chinese_name_score,name_filter_reason,review_status
Kun Wang,"State Key Laboratory of Plant Environmental Resilience, College of Biological Sciences, Frontiers Science Center for Molecular Design Breeding, China Agricultural University, Beijing, China.; School of Interdisciplinary Life Sciences, China Agricultural University, Beijing, China.; Hong Kong Polytechnic University; University of International Business and Economics; HEC Montréal; University of Electronic Science and Technology of China",2,1,1,1,1,0,1,0,"{""A1"": 1, ""TOP"": 1}",https://doi.org/10.1126/science.aeb1752 | https://doi.org/10.1016/j.trb.2026.103482,FERONIA orchestrates plasma membrane nanoclusters for plant thermotolerance | Truck vs high-speed rail express delivery: The social welfare and environmental implications,SCIENCE | TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,2026,first_author | corresponding_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Haimei Zheng,"Lawrence Berkeley National Laboratory; University of California, Berkeley",1,0,1,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.aed4488,A molecular pathway to corrosion-resistant printable copper,SCIENCE,2026,corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
J Zhang,"University of Maryland, College Park",1,1,0,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.aed4488,A molecular pathway to corrosion-resistant printable copper,SCIENCE,2026,first_author,0,0.6,"chinese_surname,initial_plus_pinyin,person_name_length",needs_review
Kaige Chen,University of Wisconsin–Madison,1,1,0,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.aeh1690,Scaffolds toughen bacteria-based therapy,SCIENCE,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Li Dai,Huazhong Agricultural University,1,1,0,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.aeh5698,Fertilizer shocks put food systems at risk,SCIENCE,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Liangbing Hu,"Yale University; University of Maryland, College Park",1,0,1,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.aed4488,A molecular pathway to corrosion-resistant printable copper,SCIENCE,2026,corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Qikun Feng,"University of Maryland, College Park",1,0,1,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.aed4488,A molecular pathway to corrosion-resistant printable copper,SCIENCE,2026,corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Qiubo Zhang,"Lawrence Berkeley National Laboratory; University of California, Berkeley",1,0,1,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.aed4488,A molecular pathway to corrosion-resistant printable copper,SCIENCE,2026,corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Shenqiang Ren,"University of Maryland, College Park",1,0,1,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.aed4488,A molecular pathway to corrosion-resistant printable copper,SCIENCE,2026,corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Wei Zhang,Utah State University,1,1,0,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1038/d41586-026-01323-z,Cities affect small and large storms differently,NATURE,2026,first_author,0,0.5,"chinese_surname,person_name_length",needs_review
Yu Zheng,"Tsung-Dao Lee Institute, School of Physics and Astronomy, and State Key Laboratory of Micro-nano Engineering Science, Shanghai Jiao Tong University, Shanghai, China.",1,1,0,1,1,0,0,0,"{""TOP"": 1}",https://doi.org/10.1126/science.ads0189,Observation of quantum vortex core fractionalization and skyrmion formation in a superconductor,SCIENCE,2026,first_author,0,0.65,"chinese_surname,chinese_context,person_name_length",needs_review
Hyewon Ma,Indiana University Bloomington,2,2,0,0,2,0,0,0,"{""A+"": 2}",https://doi.org/10.1057/s41267-025-00821-y,"Third-country MNEs, trade wars, and competitive opportunities: a real-options perspective",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,2026 | 2025,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Meng Xu,City University of Hong Kong; Academy of Mathematics and Systems Science; University of Chinese Academy of Sciences,2,2,0,0,2,0,0,0,"{""A+"": 2}",https://doi.org/10.1109/tpami.2026.3664855 | https://doi.org/10.1287/moor.2025.1055,A Generic Competitive-Cooperative Actor-Critic Framework for Deep Reinforcement Learning | A Riemannian Alternating Descent Ascent Algorithmic Framework for Nonconvex-Linear Minimax Problems on Riemannian Manifolds,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE | MATHEMATICS OF OPERATIONS RESEARCH,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Qingqing Chen,"Organization, Strategy and International Management, Naveen Jindal Business School, University of Texas at Dallas, Richardson, USA; Bank of Canada, Ottawa, Canada; The University of Texas at Dallas; Bank of Canada",2,2,0,0,2,0,0,0,"{""A+"": 2}",https://doi.org/10.1057/s41267-026-00874-7 | https://doi.org/10.1057/s41267-026-00856-9,Correction: Techno-nationalism’s paradox in international standard setting | Techno-nationalism’s paradox in international standard setting,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Wei Jee Ong,The Hong Kong University of Science and Technology and National University of Singapore; National University of Singapore; Hong Kong University of Science and Technology,2,2,0,0,2,0,0,0,"{""A+"": 2}",https://doi.org/10.5465/amj.2024.0229,Who Avoids Punishment? How Discretion and Psychopathy Shape Leaders’ Responses to Misconduct,ACADEMY OF MANAGEMENT JOURNAL,2026 | 2025,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Xiaohui Zhang,"Sheldon B. Lubar College of Business, University of Wisconsin–Milwaukee Milwaukee, WI, U.S.A.; University of Wisconsin–Milwaukee",2,2,0,0,2,0,0,0,"{""A+"": 2}",https://doi.org/10.25300/misq/2025/18108,Social Media Moderation and Content Generation: Evidence From User Bans,MIS QUARTERLY,2026 | 2025,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Yinuo Tang,Peking University; Indiana University Bloomington; Hong Kong University of Science and Technology; University of Hong Kong; Chinese University of Hong Kong; Peking University; Institute of Economic Development; Indiana University Bloomington; Nanchang University,2,2,0,0,2,0,0,0,"{""A+"": 2}",https://doi.org/10.1057/s41267-025-00836-5 | https://doi.org/10.1057/s41267-025-00825-8,Global meets local: community political ideology and Chinese cross-border M&amp;As in the U.S. | Digital institutions and virtual involvement of born-digital firms,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,2026 | 2025,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Yuan Jin,"Rawls College of Business, Texas Tech University Lubbock, TX, U.S.A.; Texas Tech University",2,2,0,0,2,0,0,0,"{""A+"": 2}",https://doi.org/10.25300/misq/2025/17751,The Curse of Experience in Creative Crowdsourcing Contests and Contest Searches as a Remedy,MIS QUARTERLY,2026 | 2025,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Shukai Li,"Northwestern University, Evanston, Illinois 60208; Beijing Jiaotong University; University of Leeds; Beijing Jiaotong University",3,1,2,0,1,0,1,1,"{""A+"": 1, ""A1"": 1, ""A2"": 1}",https://doi.org/10.1287/moor.2024.0468 | https://doi.org/10.1016/j.trb.2026.103432 | https://doi.org/10.1016/j.trc.2026.105690,A New Finite Approximation Method for Evaluating Steady-State Performance of a Continuous-State Markov Chain with an Application to Queues with Customer Abandonment | Coordinating transfers between bus and metro train in real time: A logic-based branch-and-bound method | Human-like hierarchical decision-making for real-time train regulation strategies in urban rail transit lines,MATHEMATICS OF OPERATIONS RESEARCH | TRANSPORTATION RESEARCH PART B-METHODOLOGICAL | TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,2026,first_author | corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Bo Li,"School of Mathematics and Key Laboratory of Pure Mathematics and Combinatorics, Nankai University, Tianjin 300071, China; Nanjing University of Finance and Economics",2,2,0,0,1,0,0,1,"{""A+"": 1, ""A2"": 1}",https://doi.org/10.1287/moor.2024.0855 | https://doi.org/10.1016/j.omega.2026.103566,Single-Server Queues with State-Dependent Hawkes Arrivals | Modeling of portfolio optimization with returns uncertainty and cross-efficiency evaluation,MATHEMATICS OF OPERATIONS RESEARCH | OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Bo Yang,"School of Applied Mathematics, Nanjing University of Finance and Economics; Faculty of Business and Economics The University of Hong Kong Hong Kong Hong Kong",2,2,0,0,1,0,0,1,"{""A+"": 1, ""A2"": 1}",https://doi.org/10.1080/01605682.2026.2645158 | https://doi.org/10.1002/smj.70083,Equilibrium strategies under model uncertainty in a shareholder–manager differential game for insurance firms | Information‐seeking lobbying and strategic stockpiling under trade policy uncertainty,JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY | STRATEGIC MANAGEMENT JOURNAL,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Hao Li,"University of Science and Technology of China; Department of Management Science and Engineering, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada",2,2,0,0,1,0,1,0,"{""A+"": 1, ""A1"": 1}",https://doi.org/10.1287/mnsc.2023.00475 | https://doi.org/10.1287/trsc.2025.0180,"Analyzing Network Formation Using Big Data Analytics: A Study of Degree Distribution, Clustering Coefficient, Diameter, and Assortativity | Demand-Driven Hub Network Design Under Uncertainty for Less-Than-Truckload Carriers",MANAGEMENT SCIENCE | TRANSPORTATION SCIENCE,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Jinghui Zhang,"School of Economics and Management, Tsinghua University, Beijing 100084, China",2,2,0,0,1,0,0,1,"{""A+"": 1, ""A2"": 1}",https://doi.org/10.1287/mnsc.2024.07005 | https://doi.org/10.1016/j.trc.2026.105687,Regurgitative Training: The Value of Real Data in Training Large Language Models | Coordinated scheduling and pricing for public transport-oriented MaaS systems: A passenger-centric approach,MANAGEMENT SCIENCE | TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Wei Liu,"Department of Mathematical Sciences, Rensselaer Polytechnic Institute, Troy, New York 12180; Zhengzhou University; State Key Laboratory of Cryptology",2,1,1,0,1,0,0,1,"{""A+"": 1, ""A2"": 1}",https://doi.org/10.1287/moor.2023.0377 | https://doi.org/10.1016/j.trc.2026.105752,Lower Complexity Bounds of First-Order Methods for Affinely Constrained Composite Nonconvex Problems | Collaborative federated inverse reinforcement learning for multi-agent trajectory prediction in autonomous driving,MATHEMATICS OF OPERATIONS RESEARCH | TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,2026,first_author | corresponding_author,0,0.5,"chinese_surname,person_name_length",needs_review
Yang Gao,"Gies College of Business, University of Illinois Urbana-Champaign, Champaign, IL U.S.A.; Xi'an Jiaotong University; Hong Kong Polytechnic University",2,2,0,0,1,0,0,1,"{""A+"": 1, ""A2"": 1}",https://doi.org/10.25300/misq/2026/19508 | https://doi.org/10.1016/j.tre.2026.104928,Does Agent Gender Matter? Evidence from Southwest Airlines’ Customer Service on Twitter | UAV charging dock location and patrol path planning under epistemic uncertainty using distributed reinforcement learning,MIS QUARTERLY | TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,2026,first_author,0,0.5,"chinese_surname,person_name_length",needs_review
Yi Gao,"Rawls College of Business, Texas Tech University, Lubbock, Texas 79409; Area of Information Systems and Quantitative Sciences, Rawls College of Business, Texas Tech University Lubbock, TX, U.S.A.",2,2,0,0,1,0,1,0,"{""A+"": 1, ""A1"": 1}",https://doi.org/10.1287/isre.2022.0641 | https://doi.org/10.25300/misq/2024/17880,More Can Be Less: The Economics of Answer Viewing on Paid Q&amp;A Platforms | Behind Privacy Labels: Data Tracking and Advertising Competition on App Platforms,INFORMATION SYSTEMS RESEARCH | MIS QUARTERLY,2026 | 2025,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Yuansheng Wei,Shanghai University of Finance and Economics,2,2,0,0,1,0,1,0,"{""A+"": 1, ""A1"": 1}",https://doi.org/10.1287/isre.2025.1852 | https://doi.org/10.1177/00222437261452611,Content Exclusivity on Advertising Revenue–Sharing Platforms | EXPRESS: Ad Intensity Policies and Content Provision on Revenue-Sharing Content Platforms,INFORMATION SYSTEMS RESEARCH | JOURNAL OF MARKETING RESEARCH,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Zhao Wang,"School of Management, Hefei University of Technology, Hefei, Anhui 230009, P.R. China; School of Management, Hefei University of Technology, Hefei, Anhui, China",2,2,0,0,1,0,1,0,"{""A+"": 1, ""A1"": 1}",https://doi.org/10.1287/isre.2024.1417 | https://doi.org/10.25300/misq/2026/19476,Leveraging Multiview Data Through Discrete and Regularized Deep Learning for Dynamic Financial Risk Prediction | Generative AI as an Information Intermediary: A Novel Deep Learning Method for Financial Distress Prediction,INFORMATION SYSTEMS RESEARCH | MIS QUARTERLY,2026,first_author,0,0.65,"chinese_surname,chinese_context,person_name_length",needs_review
Ann C. Peng,University of Missouri,1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.5465/amj.2024.0108,When Dirty Work Inspires: The Joint Effect of Work Dirtiness and Perceived Stigma on Pro-Organizational Behavior,ACADEMY OF MANAGEMENT JOURNAL,2026,first_author,1,0.8,"chinese_surname,pinyin_given_name_shape,initial_plus_pinyin,person_name_length",strong_candidate
Bing Li,"School of Mathematics and Key Laboratory of Pure Mathematics and Combinatorics, Nankai University, Tianjin 300071, China; Department of Computational Applied Mathematics and Operations Research, George R. Brown School of Engineering and Computing, Rice University, Houston, Texas 77005",1,0,1,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/moor.2024.0855,Single-Server Queues with State-Dependent Hawkes Arrivals,MATHEMATICS OF OPERATIONS RESEARCH,2026,corresponding_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Chang Liu,Chinese University of Hong Kong; Peking University; Indiana University Bloomington,1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1057/s41267-026-00864-9,Upward convergence: digital regulations and digital firms’ internationalization,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Chen Zhang,Tsinghua University,1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.5465/amj.2024.0522,Time the Surge: Theorizing and Examining Team Pacing in Multiple-Membership Contexts,ACADEMY OF MANAGEMENT JOURNAL,2026,first_author,0,0.65,"chinese_surname,chinese_context,person_name_length",needs_review
Chengyuan Peng,"International School of Economics and Management, Capital University of Economics and Business, Beijing 100026, China",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/opre.2025.1971,Dynamic Programming in Ordered Vector Space,OPERATIONS RESEARCH,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Chuan He,"Department of Mathematics, Linköping University, SE-581 83 Linkping, Sweden",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/moor.2023.0356,Newton-CG Methods for Nonconvex Unconstrained Optimization with Hölder Continuous Hessian,MATHEMATICS OF OPERATIONS RESEARCH,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Chuwen Zhang,"Research Institute for Interdisciplinary Sciences, School of Information Management and Engineering, Shanghai University of Finance and Economics, Shanghai 200433, China",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/moor.2023.0132,A Homogeneous Second-Order Descent Method for Nonconvex Optimization,MATHEMATICS OF OPERATIONS RESEARCH,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
David X. Xu,"Edwin L. Cox School of Business, Southern Methodist University, Dallas, Texas 75275",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/mnsc.2024.07100,Portfolio Dynamics and the Supply of Safe Securities,MANAGEMENT SCIENCE,2026,first_author,1,0.8,"chinese_surname,pinyin_given_name_shape,initial_plus_pinyin,person_name_length",strong_candidate
Di Yuan,"Harbert College of Business, Auburn University, Auburn, Alabama 36849",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/mnsc.2023.03108,Backfiring AI? AI Deployment in Workplace,MANAGEMENT SCIENCE,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Dongjun Wei,"Faculty of Business and Economics, The University of Hong Kong, Hong Kong",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.25300/misq/2025/18416,Mitigating Bias in Hate Speech Detection With a Small Number of Expert Annotations: A Prompt-Based Learning Approach,MIS QUARTERLY,2025,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Du Chen,"Nanyang Business School, Nanyang Technological University, 639798 Singapore",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/opre.2024.1213,An Algorithmic Approach to Managing Supply Chain Data Security: The Differentially Private Newsvendor,OPERATIONS RESEARCH,2026,first_author,0,0.5,"chinese_surname,person_name_length",needs_review
Edwin Hu,"University of Virginia School of Law, Charlottesville, Virginia 22903",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/mnsc.2023.00884,Vestigial Tails? Floor Brokers at the Close in Modern Electronic Markets,MANAGEMENT SCIENCE,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Fan Chen,Shanghai Jiao Tong University,1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/moor.2024.0619,Convergence of Sinkhorn’s Algorithm for Entropic Martingale Optimal Transport Problem,MATHEMATICS OF OPERATIONS RESEARCH,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Feng Qiu,University of Massachusetts Amherst,1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.5465/amj.2023.0646,When the Moon is Jealous of the Stars: Implications of Informal Leadership for Supervisor Downward Jealousy and Their Treatment of Other Subordinates,ACADEMY OF MANAGEMENT JOURNAL,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Feng Wan,International Business School Zhejiang University Zhejiang China,1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1002/smj.70090,Scaling high and wide: How firms leverage AI and organizational design to overcome the scale‐scope trade‐off,STRATEGIC MANAGEMENT JOURNAL,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Gang Chen,Fudan University,1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.25300/misq/2025/19311,Deep Chain-of-Preference: A Novel Deep Learning Method for Mixed-Grained Recommendation,MIS QUARTERLY,2025,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Guoyin Li,"University of New South Wales, Sydney, New South Wales 2052, Australia",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/moor.2024.0570,Generalized Metric Subregularity with Applications to High-Order Regularized Newton Methods,MATHEMATICS OF OPERATIONS RESEARCH,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
H Zhang,"Eller College of Management, University of Arizona, Tucson, AZ, U.S.A.; Naveen Jindal School of Management, The University of Texas at Dallas, Richardson, TX, U.S.A.",1,0,1,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.25300/misq/2026/19079,Extending the Digital Divide: The Role of Unequal Analytical Abilities1,MIS QUARTERLY,2026,corresponding_author,0,0.6,"chinese_surname,initial_plus_pinyin,person_name_length",needs_review
Haijie Huang,East China Normal University; Simon Fraser University; University of Manchester; Sun Yat-sen University,1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1057/s41267-026-00845-y,Cross-border effects of US FCPA enforcement: information and institutional spillovers in China through industry peers,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Han Jiang,,1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1057/s41267-026-00868-5,Heterogeneous treatment effects in international business research: potential issues and practical recommendations,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,2026,first_author,0,0.5,"chinese_surname,person_name_length",needs_review
Han Li,University of Reading; University of Nottingham Ningbo China; Centre National de la Recherche Scientifique; Université de Lille; Institut d'Economie Scientifique Et de Gestion; Lille Économie Management,1,0,1,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1057/s41267-025-00832-9,"Once sued, twice shy: international litigation, trust radius, and international expansion",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,2026,corresponding_author,0,0.65,"chinese_surname,chinese_context,person_name_length",needs_review
Han Xiao,Beihang University; Ministry of Industry and Information Technology,1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.25300/misq/2025/19161,Data Valuation for Vertical Federated Learning: A Model-Free and Privacy-Preserving Method,MIS QUARTERLY,2025,first_author,0,0.5,"chinese_surname,person_name_length",needs_review
Hao Ma,Peking University,1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.5465/amr.2026.0341,Boundary Conditions and the Juxtaposition of Externalities: An Extension to Anand et al.’s “Competitive Externalities in Acquisitions”,ACADEMY OF MANAGEMENT REVIEW,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Haoyu Song,"Department of Computer Science, Purdue University, West Lafayette, Indiana 47907",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/moor.2024.0439,Learning Nonparametric Choice Models with Discrete Fourier Analysis,MATHEMATICS OF OPERATIONS RESEARCH,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Hee-Chan Song,Korea University and Chulalongkorn University,1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.5465/amj.2023.1415,"Constructing Agency Under Persistent Precarity: Shame, Anger, and Compassion in the Self-Narratives of Thai Sex Workers",ACADEMY OF MANAGEMENT JOURNAL,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Heng Xu,"Department of Information Technology, Analytics, and Operations, Mendoza College of Business, University of Notre Dame, Notre Dame, IN U.S.A.",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.25300/misq/2025/18900,Why Machine Learning Needs Theoretical Guidance to Support Future Theory Building,MIS QUARTERLY,2025,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Hong Zhang,"Eller College of Management, University of Arizona, Tucson, AZ, U.S.A.",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.25300/misq/2026/19079,Extending the Digital Divide: The Role of Unequal Analytical Abilities1,MIS QUARTERLY,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Hugh Xiaolong Wu,Olin School of Business Washington University in St. Louis St. Louis Missouri USA,1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1002/smj.70081,Social comparison and the value of performance trajectory information: A field experiment in the workplace,STRATEGIC MANAGEMENT JOURNAL,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
J M. Zhang,"University of California, Berkeley",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/mnsc.2023.00980,Investing in Growth Stocks: Bimodal Payoff Distribution and Expected Returns,MANAGEMENT SCIENCE,2026,first_author,0,0.6,"chinese_surname,initial_plus_pinyin,person_name_length",needs_review
J. Liang,McGill University,1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/moor.2022.0172,Combining a Smart Pricing Policy with a Simple Replenishment Policy: Managing Uncertainties in the Presence of Stochastic Purchase Returns,MATHEMATICS OF OPERATIONS RESEARCH,2025,first_author,0,0.6,"chinese_surname,initial_plus_pinyin,person_name_length",needs_review
Jia Li,"Department of Statistics and (by courtesy) Computer Science and Engineering, The Pennsylvania State University, University Park, PA, USA",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1109/tpami.2026.3664028,Computational Investigation of Abstraction in Claude Monet’s Water Lilies Through Brushstroke Analysis,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Jiangze Han,Columbia University,1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/opre.2023.0026,Algorithms for Loot Box Design,OPERATIONS RESEARCH,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Jiaqin Wei,East China Normal University,1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/moor.2024.0720,Time-Consistent Portfolio Selection for Rank-Dependent Utilities in a Constrained Market,MATHEMATICS OF OPERATIONS RESEARCH,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Jiashuo Jiang,"Department of Industrial Engineering and Decision Analytics, Hong Kong University of Science and Technology, Hong Kong",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/moor.2023.0221,Tightness Without Counterexamples: A New Approach and New Results for Prophet Inequalities,MATHEMATICS OF OPERATIONS RESEARCH,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Jincheng Yang,"Department of Applied Mathematics and Statistics, Johns Hopkins University, Baltimore, Maryland 21218",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/opre.2024.0997,Decision Making with Side Information: A Causal Transport Robust Approach,OPERATIONS RESEARCH,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Jingyang Zhao,"University of Electronic Science and Technology of China, Chengdu, Sichuan 611731, China",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/moor.2024.0518,An Improved Algorithm for a Bipartite Traveling Tournament in Interleague Sports Scheduling,MATHEMATICS OF OPERATIONS RESEARCH,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Jingyong Tang,"School of Mathematics and Statistics, Xinyang Normal University, Xinyang 464000, China",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/moor.2025.0951,A Smooth C-Function-Based ERM Method for Stochastic Symmetric Cone Linear Complementarity Problems,MATHEMATICS OF OPERATIONS RESEARCH,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
